TaxonId	VirusSpecies
31721	Beet necrotic yellow vein virus
31722	Blueberry scorch virus
31732	Passion fruit woodiness virus
31738	Plum pox virus strain El Amar
31741	Wheat streak mosaic virus
31742	Johnsongrass mosaic virus
31743	Sweet potato latent virus
31744	Rice yellow mottle virus
31749	Obuda pepper virus
31750	Pepper ringspot virus
31770	Shallot virus X
32612	Lettuce necrotic yellows virus
32619	Sorghum mosaic virus
32620	Iris severe mosaic virus
32624	Lily mottle virus
32629	Indian peanut clump virus
33726	Mungbean yellow mosaic virus
33759	Citrus tatter leaf virus
33760	Prune dwarf virus
33761	groundnut rosette assistor virus
33763	Peanut mottle virus
33765	Tobacco vein banding mosaic virus
33773	Olive latent virus 2
35280	Pelargonium leaf curl virus
35281	Paprika mild mottle virus
35284	tulip mosaic virus
35285	Wheat spindle streak mosaic virus
35286	Bamboo mosaic virus
35287	Rice tungro spherical virus
35288	Grapevine virus A
35289	Grapevine virus B
35290	beet yellow stunt virus
35291	Pelargonium flower break virus
35341	Watermelon chlorotic stunt virus
35350	Apple stem pitting virus
35593	Peanut chlorotic streak virus
36403	Potato virus T
36453	Coconut cadang-cadang viroid
36772	Subterranean clover stunt virus
37125	lilac ring mottle virus
37126	Citrus leaf rugose virus
37127	Citrus variegation virus
37128	Potato mop-top virus
37733	Prunus necrotic ringspot virus
38062	Cassava vein mosaic virus
38172	blueberry leaf mottle virus
39046	Cassava common mosaic virus
39443	Carnation Italian ringspot virus
39681	Asparagus virus 2
40279	Panicum mosaic virus
40640	Potato virus V
40666	Ryegrass mosaic virus
40979	Cocksfoot mottle virus
41459	Sweet potato mild mottle virus
41460	Yam mosaic virus
41763	Agropyron mosaic virus
41764	Hordeum mosaic virus
41862	Citrus viroid IIIb
42004	Leek yellow stripe virus
42475	Rice ragged stunt virus
42631	Brome streak mosaic virus
42680	Spinach latent virus
42683	Paramecium bursaria Chlorella virus CVA-1
42882	Cherry virus A
43130	Onion yellow dwarf virus
43240	Bean common mosaic necrosis virus
44421	Lychnis ringspot virus
44560	Ageratum yellow vein virus
44562	Pothos latent virus
45103	Oat golden stripe virus
45224	Leek white stripe virus
45661	Banana bract mosaic virus
46019	Paramecium bursaria Chlorella virus IL3A
46021	Paramecium bursaria Chlorella virus NY2A
46075	Artichoke Italian latent virus
46076	Artichoke latent virus
46342	Grapevine yellow speckle viroid 2
46436	Beet soil-borne virus
46448	Horseradish curly top virus
46619	Sweet potato virus G
46917	Papaya leaf distortion mosaic virus
47416	Satsuma dwarf virus
47669	Olive latent virus 1
47736	Carrot mottle mimic virus
47740	Groundnut rosette virus
47838	Chino del tomate virus
47900	Garlic common latent virus
47903	Strawberry vein banding virus
47985	Grapevine leafroll-associated virus 1
48200	Narcissus latent virus
48201	Maclura mosaic virus
48876	heracleum latent virus
48982	sweet potato mild speckling virus
49267	Tomato pseudo-curly top virus
50817	Broad bean wilt virus 1
51034	Sida golden mosaic virus
51330	Cucurbit yellow stunting disorder virus
51336	Cabbage leaf curl virus
51354	Maize chlorotic dwarf virus
51617	grapevine virus D
51673	Wissadula golden mosaic virus
51676	Macroptilium golden mosaic virus
51680	Ribgrass mosaic virus
52135	Tomato infectious chlorosis virus
52274	Saguaro cactus virus
52280	Chilli veinal mottle virus
52996	Dioscorea bacilliform virus
53010	Cotton leaf curl virus
53181	Hibiscus chlorotic ringspot virus
53193	Iresine viroid 1
53260	Papaya leaf curl virus
53481	tomato leaf curl Tanzania virus
53954	Sugarcane streak mosaic virus
54289	Vicia cryptic virus
55074	garlic mite-borne filamentous virus
55216	Tomato yellow vein streak virus
55951	Grapevine leafroll-associated virus 3
56486	Elm mottle virus
56879	Oat blue dwarf virus
57119	Bean yellow dwarf virus
58166	chickpea stunt disease associated virus
58177	Leonurus mosaic virus
59380	Rice yellow stunt nucleorhabdovirus
59500	Rice necrosis mosaic virus
59504	Petunia vein clearing virus
59749	Maize rayado fino virus
59817	Faba bean necrotic yellows virus
60456	Iris yellow spot virus
60714	Galinsoga mosaic virus
62059	Shallot yellow stripe virus
62079	East African cassava mosaic virus
63723	South African cassava mosaic virus
64003	Grapevine leafroll-associated virus 2
64958	Parietaria mottle virus
65068	Peach rosette mosaic virus
65467	Cherry green ring mottle virus
65743	Blackcurrant reversion virus
66200	Carrot red leaf virus
66266	Rice grassy stunt tenuivirus
66366	Tomato yellow leaf curl virus - Il
66702	Ceratobium mosaic virus
67585	Milk vetch dwarf virus
67754	Tomato chlorosis virus
67761	Cowpea mild mottle virus
67762	Tobacco leaf curl virus
67962	Carrot red leaf luteovirus associated RNA
68033	Carrot mottle virus
68402	Chrysanthemum chlorotic mottle viroid
68893	Grapevine Rupestris stem pitting virus
69263	cowpea golden mosaic virus
69577	Banana streak virus
70134	watermelon leaf mottle virus
70177	Grapevine leafroll-associated virus 4
70821	Desmodium yellow mottle virus
70822	Okra mosaic virus
70823	Dulcamara mottle virus
70824	wild cucumber mosaic virus
71030	Chayote mosaic virus
71032	Grapevine leafroll-associated virus 5
71186	Tomato leaf curl Sinaloa virus
71548	sugarcane streak Egypt virus
71972	Beet virus Q
72539	Physalis mottle virus
72705	Citrus viroid Ia
72750	Beet pseudoyellows virus
73147	oat sterile dwarf virus
73423	Endive necrotic mosaic virus
73494	Apple dimple fruit viroid
73561	Citrus psorosis virus
73819	Andean potato latent virus
73840	Calanthe mild mosaic virus
75387	Apricot latent virus
75574	Jatropha mosaic virus
75746	Wheat yellow mosaic virus
76052	Watermelon bud necrosis virus
76343	Beet soil-borne mosaic virus
76875	Broad bean wilt virus 2
77344	Japanese iris necrotic ring virus
77647	Cotton leaf crumple virus
77698	Fiji disease virus
77811	Euphorbia mosaic virus
77813	Merremia mosaic virus
78395	Sugarcane streak Reunion virus
79236	Cotton yellow mosaic virus
79450	Mexican papita viroid
79917	Japanese yam mosaic virus
79918	Broad bean necrosis virus
81832	Grapevine rupestris stem pitting-associated virus 1
81877	Grapevine berry inner necrosis virus
81931	Sweet potato chlorotic stunt virus
82791	Olive leaf yellowing-associated virus
82847	Carnation vein mottle virus
83442	Paramecium bursaria Chlorella virus NYs1
83544	Chinese wheat mosaic virus
83839	Pepper leaf curl virus
83871	Chrysanthemum stem necrosis virus
83872	Zucchini lethal chlorosis virus
84412	Citrus viroid-I-LSS
85454	Alternanthera mosaic virus
85752	Tomato yellow leaf curl Thailand virus
85753	Soybean crinkle leaf virus
86502	Tomato yellow mottle virus
87097	Yam mild mosaic virus
89471	Melon yellow spot virus
