TaxonId	VirusSpecies
269283	Tobacco leaf curl Yunnan virus - [Y143]
269284	Tobacco leaf curl Yunnan virus - [Y161]
269306	Tomato leaf curl Gujarat virus - [Varanasi]
270117	Euphorbia leaf curl virus
270140	Tomato leaf curl Iran virus
270146	Tomato leaf curl Sudan virus
270153	Tomato yellow leaf curl virus - Mild[Portugal]
270255	petunia asteroid mosaic virus
270256	Eggplant mottled crinkle virus
270257	limonium flower distortion virus
270478	Zantedeschia mild mosaic virus
271479	Papaya leaf curl Guandong virus
274495	Lettuce ring necrosis virus
278069	Tomato leaf curl China betasatellite
279896	Maize mosaic nucleorhabdovirus
282712	Daphne virus Y
283663	Papaya leaf curl China virus-Guangzhou isolate
283824	Faba bean necrotic stunt virus
283876	Nootka lupine vein clearing virus
284054	French barley mosaic virus
284541	Tomato yellow leaf curl China virus-[Y43]
284687	Alphachrysovirus cerasi
289998	Stachytarpheta leaf curl virus - [Hn30]
289999	Stachytarpheta leaf curl virus - [Hn34]
290030	Malvastrum yellow vein Yunnan virus
290031	Spiranthes mosaic virus 3
290090	Sida yellow mosaic China virus - [Hainan 8]
290587	Wheat dwarf virus - [Enkoping1]
291270	Sida yellow mosaic China satellite DNA beta
291286	Euphorbia ringspot virus
292052	White clover cryptic virus 1
292477	Pepper yellow leaf curl Indonesia virus
292627	Cowpea severe leaf curl-associated DNA beta
293284	Corchorus yellow vein virus - [Hoa Binh]
295090	Olive mild mosaic virus
296190	Tomato golden vein virus
297249	Tomato yellow leaf curl Guangdong virus
298133	Ageratum yellow vein China virus - [G68]
298650	Ageratum leaf curl virus - [G52]
298965	Beet black scorch virus satellite RNA
298974	Tobacco bushy top virus satellite-like RNA
298975	Turnip crinkle virus virulent satellite RNA C
299200	Thunberg fritillary mosaic virus
300411	Lindernia anagallis yellow vein virus
300740	Mint virus 1
300879	Cassia yellow blotch virus
300942	Turnip mosaic virus (isolate UK1)
301865	Mint virus X
302099	tomato leaf curl Madagascar virus
302100	Tomato leaf curl Mayotte virus
304222	Cotton leaf curl Gezira betasatellite
304859	Tomato yellow ring virus
305785	Poinsettia latent virus
306025	Cotton leaf curl Multan betasatellite
307110	Cotton leaf curl Bangalore virus
307111	Cotton leaf curl Bangalore betasatellite
307671	banana virus X
307677	Apricot pseudo-chlorotic leaf spot virus
307997	Tradescantia mild mosaic virus
309390	Tomato leaf curl Joydebpur virus
309542	Calla lily chlorotic spot virus
310103	Senecio yellow mosaic virus
310749	Vicia faba alphaendornavirus
310750	Phytophthora alphaendornavirus 1
312008	Citrus sudden death-associated virus
312009	Nemesia ring necrosis virus
312273	Scrophularia mottle virus
312274	Plantago mottle virus
312275	Anagyris vein yellowing virus
312295	Cotton leafroll dwarf virus
312998	mint virus 2
315392	Tomato leaf curl virus-Pune-associated DNA beta
315713	Nandina mosaic virus
316106	Bitter gourd leaf curl betasatellite
316983	Alstroemeria virus X
317027	Allium virus X
317718	Potato virus Y strain Wilga
317719	Potato virus Y strain Wilga 156
317720	Potato virus Y strain Wilga 156var
319460	radish yellow edge virus
320856	Bidens mosaic virus
322019	Acanthocystis turfacea chlorella virus 1
322053	Konjac mosaic virus
323118	Blackberry virus Y
325110	Apple scar skin viroid-C
325111	Ludwigia yellow vein virus
325113	Ludwigia yellow vein virus-associated DNA beta
326202	Vanilla distortion mosaic virus
326811	Clerodendron yellow mosaic virus
326941	Raspberry leaf mottle virus
327280	Okra yellow mosaic Mexico virus
327387	Tropical soda apple mosaic virus
328061	Radish mosaic virus
328430	Chickpea chlorotic stunt virus
328670	Banana streak GF virus
328671	Banana streak OL virus
329048	twisted-stalk chlorotic streak virus
329164	Potato virus P
329288	Ageratum yellow vein China betasatellite
329289	Malvastrum leaf curl virus-associated defective DNA beta
329290	Malvastrum leaf curl virus
329291	Malvastrum leaf curl virus - [G87]
332471	Fritillary virus Y
333293	Ageratum leaf curl virus
333348	Nerine virus X
333361	Corchorus yellow vein virus
333968	Dolichos yellow mosaic virus
334425	Lisianthus necrosis virus
334778	Banana streak virus Acuminata Yunnan
335187	Streptocarpus flower break virus
335204	Fragaria chiloensis cryptic virus
335404	Eupatorium yellow vein virus-[SOJ3]
335963	Hippeastrum latent virus
336987	Tobacco leaf curl Cuba virus
337823	Sida leaf curl virus
337824	Sida leaf curl virus-associated DNA beta
337826	Alternanthera yellow vein virus
338781	Micromonas pusilla reovirus
339420	Blackberry chlorotic ringspot virus
339965	Malvastrum leaf curl betasatellite
340196	stocky prune virus
341034	tomato leaf curl Uganda virus
341035	Tomato leaf curl Uganda virus - [Iganga]
341110	Ranunculus leaf distortion virus
341111	Ranunculus mild mosaic virus
341112	Ranunculus mosaic virus
341113	Ranunculus latent virus
341167	East Asian Passiflora virus
345030	groundnut yellow spot virus
345184	Cabbage leaf curl Jamaica virus
347219	Citrus leprosis virus C
348449	Raphanus sativus cryptic virus 1
348823	Maize Iranian mosaic nucleorhabdovirus
348894	artichoke yellow ringspot virus
351426	Asian prunus virus 2
351427	Asian prunus virus 1
351428	Asian prunus virus 3
351495	Raphanus sativus cryptic virus 2
352882	Angelonia flower break virus
354328	Bell pepper alphaendornavirus
358008	Aspergillus ochraceous virus
360579	Mesta yellow vein mosaic virus
360580	Mesta yellow vein mosaic virus-associated DNA beta
361697	Boerhavia yellow spot virus
361731	Desmodium leaf distortion virus
362398	Sugarcane bacilliform IM virus
362399	Sugarcane bacilliform MO virus
362692	Oryza rufipogon alphaendornavirus
362693	Oryza sativa alphaendornavirus
365150	Lolium latent virus
365523	Tomato yellow spot virus
366681	Tomato yellow leaf curl China virus-[Y322]
366686	TYLCCNV-[Y322] satellite DNA beta
367061	Vernonia yellow vein virus
367121	Grapevine leafroll-associated virus 10
367301	Black raspberry necrosis virus
367682	Narcissus symptomless virus
367850	Sida mosaic Sinaloa virus
368620	Cherry small circular viroid-like RNA 1
368621	Cherry small circular viroid-like RNA 2
368735	Bell pepper mottle virus
368736	Maracuja mosaic virus
369643	Pepper cryptic virus 1
369752	Catharanthus mosaic virus
369762	Henbane mosaic virus
370833	Tomato torrado virus
371401	Siegesbeckia yellow vein virus
371402	Siegesbeckia yellow vein virus-[GD24]
371403	Siegesbeckia yellow vein virus-[GD27]
371411	Siegesbeckia yellow vein virus-[GD13]-associated DNA beta
371412	Siegesbeckia yellow vein virus-[GD24]-associated DNA beta
371413	Siegesbeckia yellow vein virus-[GD27]-associated DNA beta
371463	Siegesbeckia yellow vein virus-[GD13]
373058	Tomato bushy stunt virus satellite RNA
373373	Rice stripe necrosis virus
373398	Basella rugose mosaic virus
373861	Pineapple mealybug wilt-associated virus 3
373996	Micromonas pusilla virus SP1
375546	Hydrangea chlorotic mottle virus
376612	Malvastrum yellow mosaic Jamaica virus
377461	Malvastrum yellow mosaic alphasatellite
377462	Malvastrum yellow mosaic virus
377463	Malvastrum yellow mosaic virus satellite DNA beta
377609	Tomato leaf curl Guangxi virus
377610	Malvastrum leaf curl Guangdong virus
377611	Malvastrum yellow vein Yunnan virus satellite DNA beta
378833	Sowbane mosaic virus
379728	Siegesbeckia yellow vein Guangxi virus
379892	Passiflora latent virus
380598	Paramecium bursaria Chlorella virus AR158
380669	Dracaena mottle virus
382677	Tomato yellow leaf curl China virus -[Y264]
387423	Agave tequilana leaf virus
388038	Cucumber mottle virus
390237	white lupin mosaic virus
390436	Corchorus golden mosaic virus
390437	Kudzu mosaic virus
390438	Clerodendron golden mosaic virus
390439	Spilanthes yellow vein virus
390440	Mimosa yellow leaf curl virus
390441	Sida yellow vein Vietnam virus
390442	Tomato yellow leaf curl Vietnam virus
390443	Erectites yellow mosaic virus
390444	Ludwigia yellow vein Vietnam virus
390849	Zucchini yellow fleck virus
391090	Tomato yellow leaf curl betasatellite
391228	Beet curly top Iran virus
391912	sweet potato leaf speckling virus
392174	Malva mosaic virus
392504	Turnip ringspot virus
392761	Tomato leaf curl Arusha virus
393034	Siegesbeckia yellow vein virus-associated DNA beta
393599	East African cassava mosaic Kenya virus
393603	dandelion yellow mosaic virus
394036	Narcissus degeneration virus
395349	Tomato yellow leaf curl Indonesia virus-[Lembang]
397544	Squash vein yellowing virus
398296	Tomato yellow leaf curl Sardinia virus-Israel
399314	Strawberry chlorotic fleck-associated virus
399387	tomato leaf curl Hsinchu virus
399781	Paramecium bursaria Chlorella virus FR483
399784	Wheat dwarf virus - [Taiyuan]
400394	Telosma mosaic virus
400395	Peace lily mosaic virus
400396	Wild tomato mosaic virus
400835	Tomato leaf curl Guangdong virus
401040	Okra yellow crinkle virus
402399	Brugmansia mild mottle virus
403897	Corchorus yellow spot virus
404196	Blackberry yellow vein-associated virus
404404	Coleus vein necrosis virus
405558	Arracacha mottle virus
407837	Tomato leaf curl Pune virus
407838	Tomato leaf curl Pune virus - [India:Pune:2005]
408092	Tomato yellow leaf curl China virus-[YN72]
408136	Soybean blistering mosaic virus
408719	Sida yellow mosaic Yucatan virus
409287	Tobacco leaf curl Thailand virus
409486	Hardenbergia mosaic virus
410826	Potato apical leaf curl disease-associated satellite DNA beta
411248	Croton yellow vein mosaic betasatellite
412688	Euphorbia leaf curl Guangxi virus
414528	Chilli ringspot virus
417192	Honeysuckle yellow vein mosaic disease associated satellite DNA beta
417287	Crassocephalum yellow vein virus
417288	Crassocephalum yellow vein virus - Jinghong
418448	Cotton leaf curl Burewala virus - [India:Vehari:2006]
418827	Yambean mosaic virus
419782	Canna yellow mottle virus
420253	tomato leaf curl Rajasthan virus
420254	Tomato leaf curl Rajasthan virus - [India:Rajasthan:2005]
420255	Sida yellow vein Madurai virus
420684	Pumpkin yellow mosaic Malaysia virus
421010	Hippeastrum mosaic virus
421012	Freesia mosaic virus
421013	Hyacinth mosaic virus
424679	Nerine yellow stripe virus
425279	Rehmannia mosaic virus
425303	Tomato leaf curl Seychelles virus
427315	Tomato yellow dwarf disease associated satellite DNA beta-[Kochi]
429130	Alternanthera mild mosaic virus
429564	Euphorbia mosaic virus - A [Mexico:Yucatan:2004]
430059	Vallota mosaic virus
430606	Polygonum ringspot orthotospovirus
430710	Blueberry latent virus
431317	Triticum mosaic virus
433357	Bidens mottle virus
433462	Canna yellow streak virus
434023	Honeysuckle yellow vein virus-[Japan:Fukui:2001]
434066	Honeysuckle yellow vein mosaic beta-[Japan:Kumamoto:1998]
434070	Honeysuckle yellow vein beta-[Japan:Masuda:2003]
435487	Honeysuckle yellow vein mosaic virus-[Japan:Miyazaki:2001]
435489	Honeysuckle yellow vein virus-[Japan:Masuda:2003]
435646	Radish leaf curl virus
436007	Angelica virus Y
436066	Phlox virus S
436241	Pepper leaf curl virus isolate Varanasi
436242	Pepper leaf curl virus satellite DNA beta
436243	Tomato leaf curl Joydebpur betasatellite
436246	Eupatorium yellow vein virus-[Suya]
437061	Ageratum yellow vein Hualian virus-[Taiwan:Hualian4:2000]
437063	Ageratum yellow vein Hualian virus
437470	phlox virus M
438782	Abaca bunchy top virus
439421	Tomato leaf curl Namakely virus
439422	Tomato leaf curl Anjouan virus
439423	Tobacco leaf curl Comoros virus
439425	Tomato leaf curl Moheli virus
439426	Tomato leaf curl Diana virus
439427	Tomato leaf curl Toliara virus
443746	Asparagus virus 1
444180	Potato virus Y strain (N)W
445227	Maize white line mosaic virus
445435	Asparagus virus 3
446318	Ageratum yellow vein virus-Ishigaki
446549	Lucky bamboo bacilliform virus
446569	Ageratum yellow vein virus satellite DNA beta-[Ishigaki]
447171	Lettuce virus X
447597	Sida yellow vein Vietnam alphasatellite
447598	Mimosa yellow leaf curl virus-associated DNA 1
447599	Papaya leaf curl China betasatellite
447600	Mimosa yellow leaf curl virus satellite DNA beta
447602	Sida yellow vein Vietnam virus satellite DNA beta
447603	Erectites yellow mosaic virus satellite DNA beta
447604	Tomato yellow leaf curl Vietnam betasatellite
447605	Lindernia anagallis yellow vein betasatellite
447606	Alternanthera yellow vein betasatellite
450633	Sweet potato begomovirus
452663	Wheat dwarf virus - [Gansu Gangu]
452664	Wheat dwarf virus - [Hebei Shijiazhuang]
452665	Wheat dwarf virus - [Henan zhengzhou]
452666	Wheat dwarf virus - [Sanxi Taiyuan]
452667	Wheat dwarf virus - [Sanxi Yangling]
452668	Wheat dwarf virus - [Sanxi Yuncheng]
452669	Wheat dwarf virus - [Yunnan Kunming]
452758	Allamanda leaf curl virus
453050	Sweet potato virus 2
453139	Cherry chlorotic rusty spot associated small satellite-like dsRNA A
453140	Cherry chlorotic rusty spot associated small satellite-like dsRNA B
453141	Cherry chlorotic rusty spot associated small satellite-like dsRNA C
454125	Okra leaf curl virus-[Mali]
454126	Okra yellow crinkle virus-[Mali]
454128	Okra leaf curl Mali virus satellite DNA beta
454129	Okra leaf curl Mali virus
454757	Araujia mosaic virus
456390	butterfly flower mosaic virus
457004	Citrus exocortis viroid Sj 1
457005	Citrus exocortis viroid Sj 2
457286	Rhynchosia golden mosaic Yucatan virus
457382	Phaius virus X
458152	Tomato apical stunt viroid Sj1
459949	Citrus viroid V
460364	Wheat eqlid mosaic virus
460926	Tomato zonate spot virus
463360	Chickpea chlorotic dwarf virus
463392	Black raspberry virus F
470166	Tomato marchitez virus
471285	Lettuce yellow mottle virus
471498	Peach chlorotic mottle virus
471717	Melon aphid-borne yellows virus
473784	Opium poppy mosaic virus
474454	Rose spring dwarf-associated virus
475454	Sri Lankan cassava mosaic virus - [Ker20]
475777	Phlox virus B
478085	Tomato leaf curl Vietnam virus satellite DNA beta DX2
478086	Tomato leaf curl Vietnam virus satellite DNA beta VR2
478087	Tomato leaf curl Vietnam virus satellite DNA beta VRQ
478550	Ligustrum necrotic ringspot virus
478812	Tomato leaf curl New Delhi betasatellite
479060	Cocksfoot mild mosaic virus
479713	Primula malacoides virus China/Mar2007
481311	Persimmon viroid
485724	Melon severe mosaic tospovirus
486809	Ramie mosaic virus
486898	Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta
487095	phlomis mottle virus
487155	Brugmansia suaveolens mottle virus
487492	Mikania micrantha mosaic virus
488255	Malachra yellow vein mosaic virus-associated satellite DNA beta
488317	Eggplant mottled dwarf nucleorhabdovirus
492502	Rose cryptic virus 1
493827	Tomato yellow leaf curl China virus-Dali198
493828	Tomato yellow leaf curl China virus satellite DNA beta-Dali198
496807	Eragrostis streak virus
497862	Barley dwarf virus
497863	Oat dwarf virus
497865	Cardiospermum yellow leaf curl betasatellite
498803	Emilia yellow vein virus
498805	Emilia yellow vein virus-[Fz1]
501251	Ageratum yellow vein virus - [G129]
501328	Tomato leaf curl Ghana virus
501371	Beet curly top Iran virus-[K]
501372	Beet curly top Iran virus-[Sh2]
501373	Beet curly top Iran virus-[Yazd]
503396	Tomato yellow leaf curl virus-Israel [Japan:Tosa:2005]
503397	Tomato yellow leaf curl virus-Israel [Japan:Haruno:2005]
504455	Vicia cryptic virus M
507474	Tomato leaf curl Cebu virus
507475	Tomato leaf curl Cotabato virus
507476	Tomato leaf curl Mindanao virus
508748	Mesta yellow vein mosaic Bahraich virus
508750	Kenaf leaf curl virus-[India:Bahraich:2007]
509531	Gossypium darwinii symptomless virus
509532	Gossypium punctatum mild leaf curl virus
509923	Beet cryptic virus 1
515320	Lamium leaf distortion virus
515444	Eupatorium vein clearing virus
515446	Verbena virus Y
515575	Algerian watermelon mosaic virus
516956	Grapevine virus E
518829	Okra leaf curl alphasatellite
519015	Pepper leaf curl Yunnan virus-[YN323]
519016	Pepper leaf curl Yunnan virus satellite DNA beta
519350	Eupatorium yellow vein virus-[Japan:Kagawa:Tomato:1997]
519497	Southern rice black-streaked dwarf virus
520123	Wheat dwarf virus - barley/SxA43-16
520848	Urochloa streak virus
522359	Wheat dwarf virus Bg17
524023	Imperata yellow mottle virus
526476	Tomato leaf curl Palampur virus
529680	Rhynchosia yellow mosaic virus
529840	Mulberry small circular viroid-like RNA 1
530536	Tobacco mottle leaf curl virus
535898	Rosa rugosa leaf distortion virus
536081	Blainvillea yellow spot virus
536082	Sida common mosaic virus
536083	Sida yellow leaf curl virus
536084	Tomato common mosaic virus
536085	Tomato leaf distortion virus
536086	Tomato mild mosaic virus
537881	Tomato yellow leaf curl virus-[Tochigi]
537882	Tomato yellow leaf curl virus - Mild[Tokai]
538004	Tomato leaf curl Pakistan alphasatellite
540069	cocoa necrosis virus
543876	Jatropha leaf curl virus
544686	Epirus cherry virus
544743	Tomato yellow blotch virus
545259	Melandrium yellow fleck virus
546025	Chilli leaf curl Multan virus
547467	Diascia yellow mottle virus
548908	Fig fleck-associated virus
548915	Tomato leaf curl Kumasi virus
549205	Cycad leaf necrosis virus
551003	Passiflora chlorosis virus
551238	Cotton leaf curl Rajasthan virus satellite DNA 1
551454	carnation necrotic fleck virus
551523	Citrus dwarfing viroid
551531	Tomato leaf curl Kerala virus
557419	Dweet mottle virus
558674	Wheat dwarf virus H07
558690	Cucurbit chlorotic yellows virus
559878	Clerodendrum golden mosaic China virus
561576	Cassava virus C
565052	Tobacco yellow crinkle virus
565624	Malva vein clearing virus
569949	Jatropha mosaic India virus-[Lucknow]
570832	Ludwigia leaf distortion betasatellite [India:Amadalavalasa:Hibiscus:2007]
570949	Carrot mottle mimic virus satellite RNA
570950	Carrot mottle virus satellite RNA
572239	Wheat yellow dwarf virus-GPV
573615	Lupinus mosaic virus
574040	Pepper chat fruit viroid
574890	Sweet potato leaf curl Lanzarote virus
575917	Tomato leaf curl Patna virus
575918	Tomato leaf curl Patna betasatellite
577124	Chilli leaf curl India virus
578107	Daphne mosaic virus
578305	Gayfeather mild mottle virus
578361	Soybean yellow mottle mosaic virus
579113	Sunn hemp leaf distortion virus
580254	Raphanus sativus cryptic virus 3
581119	East African cassava mosaic virus-Uganda BFA/2008
587197	Plum pox virus strain Marcus
587313	Pedilanthus leaf curl virus [Pakistan:Multan:2004]
587314	Tobacco leaf curl betasatellite-[Pakistan:Multan:Pedilanthus:2004]
587370	Rudbeckia flower distortion virus
587620	Bhendi yellow vein Delhi virus [2004:New Delhi]
588752	Begonia flower breaking virus
589918	Carrot cryptic virus
590403	Red clover vein mosaic virus
590668	Sweet potato leaf curl Korean virus
591160	Bhendi yellow vein Bhubhaneswar virus
591166	Southern tomato virus
592206	Helleborus net necrosis virus
592207	helleborus mosaic virus
593572	broad bean stain virus
596768	Citrus exocortis Yucatan viroid
596957	Yam chlorotic necrotic mosaic virus
598494	Euphorbia yellow mosaic virus
598747	Coleus blumei viroid 5
603333	Sweet potato symptomless virus 1
604276	TYLCAxV-Sic1-[IT:Sic2/2:04]
614034	Tomato leaf curl Nigeria virus-[Nigeria:2006]
619599	Okra mottle virus
619631	Pedilanthus leaf curl virus
620894	Cotton leaf curl Burewala virus
623233	Tomato yellow leaf curl virus ZJHZ1
623705	Tomato yellow leaf curl virus ZJHZ12
623706	Tomato yellow leaf curl virus SDJN2
623707	Tomato yellow leaf curl virus SH3
623708	Tomato yellow leaf curl virus JSNJ1
623710	Papaya leaf curl China virus HeNZM1
624128	Tomato leaf curl Taiwan virus ZJWZ5
626962	Olive latent virus 3
627501	Cotton leaf curl Gezira virus-[Cameroon]
630199	Grapevine Syrah virus 1
631718	Papaya leaf curl China virus GX4
634441	Tomato leaf curl Sulawesi virus
635076	Ageratum leaf curl Cameroon betasatellite
638358	Eragrostis curvula streak virus
640136	Emilia yellow vein virus-associated DNA beta
642478	Lettuce chlorosis virus
642493	Malvastrum yellow vein Baoshan virus
642926	Ostreococcus tauri virus 1
643133	Malvastrum yellow mosaic Helshire virus
646010	Suakwa aphid-borne yellows virus
647294	Sweet potato badnavirus B
648750	Citrus gummy bark viroid
648801	Passionfruit severe leaf distortion virus
649509	Clerodendrum golden mosaic Jiangsu virus
649890	Broad bean true mosaic virus
649996	Tomato yellow leaf distortion virus
651134	Coleus blumei viroid 6
652717	Sweet potato leaf curl Spain virus
652718	Sweet potato leaf curl Canary virus
652719	Sweet potato leaf curl virus-Spain
653358	Ipomoea yellow vein virus
653708	Crassocephalum yellow vein virus - Yuanjiang
656025	Gossypium darwinii symptomless alphasatellite
656028	Gossypium davidsonii symptomless alphasatellite
656190	Carrot yellow leaf virus
656520	Diodia vein chlorosis virus
658650	Bhendi yellow vein Haryana virus [2003:Karnal]
659660	Japanese holly fern mottle virus
659661	Grapevine leafroll-associated virus Carn
661101	Tomato chocolate spot virus
661505	Chilli leaf curl Multan alphasatellite
662596	Radish leaf curl betasatellite
664255	Anthurium mosaic-associated virus
664980	Tomato leaf curl Hainan virus
665102	Abutilon Brazil virus
666144	Cleome leaf crumple virus
666145	Sida Brazil virus
666147	Euphorbia yellow mosaic virus associated DNA 1
666635	Vernonia yellow vein betasatellite
666636	Ageratum enation virus associated DNA 1
666859	Butterbur mosaic virus
667119	Velvet bean severe mosaic virus
669377	Melon mild mottle virus
670251	Leucas zeylanica yellow vein virus satellite DNA beta
670883	Blackberry virus S
671095	Croton yellow vein virus
671126	Pelargonium vein banding virus
671275	Tomato leaf curl Hainan virus HaNHK7
674908	Kalanchoe mosaic virus
674996	Cotton leaf curl Shahdadpur virus
675077	Plum bark necrosis stem pitting-associated virus
676044	Malvastrum yellow vein Honghe virus
676234	Furcraea necrotic streak virus
679536	Cotton leaf curl Gezira alphasatellite
680112	Carrot necrotic dieback virus
681518	Tomato leaf deformation virus
683179	Saccharum streak virus
685899	Papaya lethal yellowing virus
685973	African cassava mosaic virus-cotton
688540	Sweet potato golden vein associated virus
688701	Chiltepin yellow mosaic virus
693419	Ugandan Passiflora virus
693450	Alstroemeria necrotic streak virus
693892	Sweet potato leaf curl Bengal virus
693894	Tomato leaf curl Cameroon virus
693897	Tomato yellow leaf curl Thailand betasatellite
693900	Chilli leaf curl betasatellite - [Pakistan:Potato:2008]
694582	Tomato leaf curl Sudan virus -[Wad Madani]
696472	Ostreococcus tauri virus 2
697192	Citrus viroid VI
705074	Tobacco curly shoot virus - [SC118]
713089	Croton yellow vein mosaic alphasatellite
713090	Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite
713091	Cotton leaf curl Burewala alphasatellite
713092	Cotton leaf curl Burewala betasatellite
713949	Tomato leaf curl Oman virus
714308	Rhynchosia mild mosaic virus
714309	Merremia mosaic Puerto Rico virus
714310	Bean yellow mosaic Mexico virus
714640	Papaya leaf curl betasatellite
715480	Sunflower mild mosaic virus
717848	lagenaria mild mosaic virus
722755	Lilac leaf chlorosis virus
727987	Cotton leaf curl virus LKO-2
741733	Malvastrum yellow mosaic Cameroon alphasatellite
742163	Duranta leaf curl virus
743023	okra yellow crinkle Cameroon alphasatellite
743026	Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09]
743027	Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09]
743035	Ageratum leaf curl Cameroon alphasatellite
743040	Tomato leaf curl Cameroon alphasatellite
743041	Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09]
743042	Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09]
745716	Coffee ringspot virus
747056	Blueberry shock virus
748170	Guar leaf curl alphasatellite
748667	Grapevine Bulgarian latent virus
749223	Chilli leaf curl virus-[Soyla:India:2009]
753670	Pea necrotic yellow dwarf virus
754064	Ostreococcus lucimarinus virus OlV5
754069	Dunaliella viridis virus SI2
754070	Tetraselmis viridis virus S20
755272	Micromonas pusilla virus 12T
756285	Tetraselmis viridis virus S1
756759	Okra leaf curl betasatellite
758677	Raspberry vein chlorosis virus
758918	Rubber viroid India/2009
759390	Sida golden mottle virus
761701	Soybean mild mottle virus
761702	Soybean chlorotic blotch virus
761705	Tomato yellow leaf curl virus-[Genaveh:Iran]
761706	Tomato yellow leaf curl virus-[Jiroft:Iran]
761707	Tomato yellow leaf curl virus-[Kahnooj:Iran]
761708	Tomato yellow leaf curl virus-[Minab:Iran]
761709	Tomato yellow leaf curl virus-[Orzuiyeh:Iran]
761710	Tomato yellow leaf curl virus-[Roodan:Iran]
761711	Tomato yellow leaf curl virus-[Shiraz:Iran]
761712	Tomato yellow leaf curl virus-[Taft:Iran]
796352	Panax virus Y
797075	Nerine latent virus
857288	Arabis mosaic virus small satellite RNA barley/CHE/1991
858511	Tomato golden leaf distortion virus
858512	Tomato bright yellow mottle virus
858513	Sidastrum golden leaf spot virus
858516	Chino del tomate Amazonas virus
858517	Cleome golden mosaic virus
859650	Turnip curly top virus
861561	Cyrtanthus elatus virus A
867160	Soybean mosaic virus 4469-4/CHN/2004
870588	snake melon asteroid mosaic virus
871521	Sida golden mosaic Florida virus-Malvastrum
873160	Spinach severe curly top virus
875323	Rose leaf curl virus
875324	Eclipta yellow vein virus
875325	Rose leaf curl betasatellite
876170	Chilli leaf curl virus-[Bhavanisagar:India:2010]
878260	Rhododendron virus A
880159	Bathycoccus sp. RCC1105 virus BpV1
880160	Bathycoccus sp. RCC1105 virus BpV2
880161	Micromonas sp. RCC1109 virus MpV1
880162	Ostreococcus lucimarinus virus 1
881944	Pepper yellow leaf curl virus
882768	Fig cryptic virus
884610	Pepper leaf curl Lahore virus
884612	Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004]
885379	Tomato leaf curl Bangladesh betasatellite
887825	Chickpea chlorosis virus-A
887826	Chickpea chlorosis virus-B
887827	Chickpea redleaf virus
889202	Rhynchosia golden mosaic Havana virus-[Cuba:Havana:28:2007]
889203	Rhynchosia rugose golden mosaic virus-[Cuba:Camaguey:171:2009]
889510	Digitaria didactyla striate mosaic virus
905054	Tobacco leaf curl Pusa virus
905055	Tobacco leaf curl PUSA alphasatellite
907191	Raspberry latent virus
908010	Bhendi yellow vein India betasatellite [India:Aurangabad:OY164:2006]
908028	Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006]
908070	Bhendi yellow vein mosaic betasatellite
908072	Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005]
908124	Okra leaf curl India virus [India:Sonipat EL14A:2006]
908125	Okra enation leaf curl virus
908127	Okra enation leaf curl virus [India:Munthal EL37:2006]
908277	Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006]
909827	Pepper vein yellows virus
911574	Malvastrum yellow vein Changa Manga virus
912029	Beet cryptic virus 2
912033	Ageratum leaf curl Cameroon virus
912034	Okra leaf curl Cameroon virus
912035	Ageratum leaf curl Buea betasatellite
913595	Chilli leaf curl virus-DU [India:New Delhi:Papaya:2009]
913596	Chilli leaf curl virus-HD [India:New Delhi:Papaya:2007]
913597	Chilli leaf curl virus-Panipat1 [India:Panipat:Papaya:2008]
913598	Chilli leaf curl virus-Najafgarh2 [India:New Delhi:Papaya:2009]
913599	Chilli leaf curl virus-Noida [India:Uttar Pradesh:Papaya:2009]
913600	Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008]
913601	Papaya leaf crumple virus-Nirulas [India:New Delhi:Papaya:2007]
913602	Papaya leaf crumple virus-Najafgarh 1 [India:New Delhi:Papaya:2008]
915293	Ageratum yellow vein Singapore alphasatellite
926844	Tobacco curly shoot alphasatellite
928315	Papaya leaf crumple virus
929051	Tomato leaf curl Togo betasatellite-[Togo:2006]
929766	Sida golden yellow vein virus-[Jamaica:Liguanea2:2008]
929767	Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008]
929769	Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]
930168	Sweet potato collusive virus
930881	Sweet potato virus C
930965	Chickpea chlorosis virus
932069	Sida mosaic Bolivia virus 1
932070	Sida mosaic Bolivia virus 2
932071	Abutilon mosaic Bolivia virus
932073	Solanum mosaic Bolivia virus
935473	Rhynchosia yellow mosaic India virus
936005	Bromus catharticus striate mosaic virus
937809	Cordyline virus 1
938276	Tomato leaf curl Ranchi virus
938277	Tomato leaf curl Ranchi betasatellite
940280	Carnation yellow fleck virus
940846	Sweet potato leaf curl Uganda virus-[Uganda:Kampala:2008]
943272	Honeysuckle ringspot virus
