Species	Virus_name_abbreviation
Avian metapneumovirus	AMPV
Human metapneumovirus	HMPV
Human metapneumovirus	HMPV
Human metapneumovirus	HMPV
Human metapneumovirus	HMPV
Bovine orthopneumovirus	BRSV
Bovine orthopneumovirus	BRSV
Human orthopneumovirus	HRSV
Human orthopneumovirus	HRSV
Murine orthopneumovirus	MPV
Murine orthopneumovirus	MPV
Arboretum almendravirus	ABTV
Balsa almendravirus	BALV
Coot Bay almendravirus	CBV
Puerto Almendras almendravirus	PTAMV
Rio Chico almendravirus	RCHV
Xingshan alphanemrhavirus	XsNV-4
Xinzhou alphanemrhavirus	XzNV-4
Caligus caligrhavirus	CRogRV
Lepeophtheirus caligrhavirus	LSalRV-127
Salmonlouse caligrhavirus	LSalRV-9
Curionopolis curiovirus	CURV
Iriri curiovirus	IRIRV
Itacaiunas curiovirus	ITAV
Rochambeau curiovirus	RBUV
Alfalfa dwarf cytorhabdovirus	ADV
Barley yellow striate mosaic cytorhabdovirus	BYSMV
Broccoli necrotic yellows cytorhabdovirus	BNYV
Colocasia bobone disease-associated cytorhabdovirus	CBDaV
Festuca leaf streak cytorhabdovirus	FLSV
Lettuce necrotic yellows cytorhabdovirus	LNYV
Lettuce yellow mottle cytorhabdovirus	LYMoV
Northern cereal mosaic cytorhabdovirus	NCMV
Sonchus cytorhabdovirus 1	SonV
Strawberry crinkle cytorhabdovirus	SCV
Wheat American striate mosaic cytorhabdovirus	WASMV
Citrus chlorotic spot dichorhavirus	CiCSV
Citrus leprosis N dichorhavirus	CiLV-N
Clerodendrum chlorotic spot dichorhavirus	ClCSV
Coffee ringspot dichorhavirus	CoRSV
Orchid fleck dichorhavirus	OFV
Adelaide River ephemerovirus	ARV
Berrimah ephemerovirus	BRMV
Bovine fever ephemerovirus	BEFV
Kimberley ephemerovirus	KIMV
Koolpinyah ephemerovirus	KOOLV
Kotonkan ephemerovirus	KOTV
Obodhiang ephemerovirus	OBOV
Yata ephemerovirus	YATV
Flanders hapavirus	FLAV
Gray Lodge hapavirus	GLOV
Hart Park hapavirus	HPV
Joinjakaka hapavirus	JOIV
Kamese hapavirus	KAMV
La Joya hapavirus	LJV
Landjia hapavirus	LJAV
Manitoba hapavirus	MANV
Marco hapavirus	MCOV
Mosqueiro hapavirus	MQOV
Mossuril hapavirus	MOSV
Ngaingan hapavirus	NGAV
Ord River hapavirus	ORV
Parry Creek hapavirus	PCV
Wongabel hapavirus	WONV
Barur ledantevirus	BARV
Fikirini ledantevirus	FKRV
Fukuoka ledantevirus	FUKV
Kanyawara ledantevirus	KYAV
Kern Canyon ledantevirus	KCV
Keuraliba ledantevirus	KEUV
Kolente ledantevirus	KOLEV
Kumasi ledantevirus	KRV
Le Dantec ledantevirus	LDV
Mount Elgon bat ledantevirus	MEBV
Nishimuro ledantevirus	NISV
Nkolbisson ledantevirus	NKOV
Oita ledantevirus	OITAV
Vaprio ledantevirus	VAPV
Wuhan ledantevirus	WhLFV-5
Yongjia ledantevirus	YjTV-2
Aravan lyssavirus	ARAV
Australian bat lyssavirus	ABLV
Bokeloh bat lyssavirus	BBLV
Duvenhage lyssavirus	DUVV
European bat 1 lyssavirus	EBLV-1
European bat 2 lyssavirus	EBLV-2
Gannoruwa bat lyssavirus	GBLV
Ikoma lyssavirus	IKOV
Irkut lyssavirus	IRKV
Khujand lyssavirus	KHUV
Lagos bat lyssavirus	LBV
Lleida bat lyssavirus	LLEBV
Mokola lyssavirus	MOKV
Rabies lyssavirus	RABV
Shimoni bat lyssavirus	SHIBV
West Caucasian bat lyssavirus	WCBV
Hirame novirhabdovirus	HIRRV
Piscine novirhabdovirus	VHSV
Salmonid novirhabdovirus	IHNV
Snakehead novirhabdovirus	SHRV
Datura yellow vein nucleorhabdovirus	DYVV
Eggplant mottled dwarf nucleorhabdovirus	EMDV
Maize fine streak nucleorhabdovirus	MSFV
Maize Iranian mosaic nucleorhabdovirus	MIMV
Maize mosaic nucleorhabdovirus	MMV
Potato yellow dwarf nucleorhabdovirus	PYDV
Rice yellow stunt nucleorhabdovirus	RYSV
Sonchus yellow net nucleorhabdovirus	SYNV
Sowthistle yellow vein nucleorhabdovirus	SYVV
Taro vein chlorosis nucleorhabdovirus	TaVCV
Anguillid perhabdovirus	EVEX
Anguillid perhabdovirus	EVA
Perch perhabdovirus	PRV
Sea trout perhabdovirus	LTRV
Drosophila affinis sigmavirus	DAffSV
Drosophila ananassae sigmavirus	DAnaSV
Drosophila immigrans sigmavirus	DImmSV
Drosophila melanogaster sigmavirus	DMelSV
Drosophila obscura sigmavirus	DObsSV
Drosophila tristis sigmavirus	DTriSV
Muscina stabulans sigmavirus	MStaSV
Carp sprivivirus	SVCV
Pike fry sprivivirus	PFRV
Pike fry sprivivirus	GCRV
Pike fry sprivivirus	TRV
Almpiwar sripuvirus	ALMV
Chaco sripuvirus	CHOV
Niakha sripuvirus	NIAV
Sena Madureira sripuvirus	SMV
Sripur sripuvirus	SRIV
Bas-Congo tibrovirus	BASV
Beatrice Hill tibrovirus	BHV
Coastal Plains tibrovirus	CPV
Ekpoma 1 tibrovirus	EKV1
Ekpoma 2 tibrovirus	EKV2
Sweetwater Branch tibrovirus	SWBV
Tibrogargan tibrovirus	TIBV
Tibrogargan tibrovirus	BAV
Durham tupavirus	DURV
Klamath tupavirus	KLAV
Tupaia tupavirus	TUPV
Lettuce big-vein associated varicosavirus	LBVaV
Alagoas vesiculovirus	VSAV
American bat vesiculovirus	ABVV
Carajas vesiculovirus	CARV
Chandipura vesiculovirus	CHPV
Cocal vesiculovirus	COCV
Indiana vesiculovirus	VSIV
Isfahan vesiculovirus	ISFV
Jurona vesiculovirus	JURV
Malpais Spring vesiculovirus	MSPV
Maraba vesiculovirus	MARV
Morreton vesiculovirus	MORV
New Jersey vesiculovirus	VSNJV
Perinet vesiculovirus	PERV
Piry vesiculovirus	PIRYV
Radi vesiculovirus	RADV
Yug Bogdanovac vesiculovirus	YBV
Moussa virus	MOUV
Reptile sunshinevirus 1	SCV
Bolahun anphevirus	BLHV
Dipteran anphevirus	HbDV-11
Drosophilid anphevirus	DuniV-1
Odonate anphevirus	HbRLV-7
Orthopteran anphevirus	HbOV-5
Shuangao anphevirus	SgFV-2
Xincheng anphevirus	XcMV
Beihai yuyuevirus	BhSCV-3
Shahe yuyuevirus	ShYLV-1
Hairy antennavirus	WlFV-2
Striated antennavirus	WlFV-1
Haartman hartmanivirus	HISV-1
Allpahuayo mammarenavirus	AALV
Argentinian mammarenavirus	JUNV
Bear Canyon mammarenavirus	BCNV
Brazilian mammarenavirus	SBAV
Cali mammarenavirus	PICHV
Chapare mammarenavirus	CHAPV
Cupixi mammarenavirus	CUPXV
Flexal mammarenavirus	FLEV
Gairo mammarenavirus	GAIV
Guanarito mammarenavirus	GTOV
Ippy mammarenavirus	IPPYV
Lassa mammarenavirus	LASV
Latino mammarenavirus	LATV
Loei River mammarenavirus	LORV
Lujo mammarenavirus	LUJV
Luna mammarenavirus	LUAV
Luna mammarenavirus	LULV
Lunk mammarenavirus	LNKV
Lymphocytic choriomeningitis mammarenavirus	LCMV
Machupo mammarenavirus	MACV
Mariental mammarenavirus	MRLV
Merino Walk mammarenavirus	MRWV
Mobala mammarenavirus	MOBV
Mopeia mammarenavirus	MOPV
Mopeia mammarenavirus	MORV
Okahandja mammarenavirus	OKAV
Oliveros mammarenavirus	OLVV
Paraguayan mammarenavirus	PRAV
Pirital mammarenavirus	PIRV
Ryukyu mammarenavirus	RYKV
Serra do Navio mammarenavirus	AMAV
Solwezi mammarenavirus	SOLV
Souris mammarenavirus	SOUV
Tacaribe mammarenavirus	TCRV
Tamiami mammarenavirus	TMMV
Wenzhou mammarenavirus	WENV
Whitewater Arroyo mammarenavirus	WWAV
Whitewater Arroyo mammarenavirus	BBRTV
Whitewater Arroyo mammarenavirus	CTNV
Whitewater Arroyo mammarenavirus	SKTV
Whitewater Arroyo mammarenavirus	TTCV
California reptarenavirus	CASV
Giessen reptarenavirus	UGV-1
Giessen reptarenavirus	UGV-2
Giessen reptarenavirus	UGV-3
Golden reptarenavirus	GOGV
Ordinary reptarenavirus	TSMV-2
Rotterdam reptarenavirus	ROUTV
Rotterdam reptarenavirus	UHV-1
Crustacean lincruvirus	WlCV-9
Actinidia chlorotic ringspot-associated emaravirus	AcCRaV
European mountain ash ringspot-associated emaravirus	EMARaV
Fig mosaic emaravirus	FMV
High Plains wheat mosaic emaravirus	HPWMoV
Pigeonpea sterility mosaic emaravirus 1	PPSMV-1
Pigeonpea sterility mosaic emaravirus 2	PPSMV-2
Raspberry leaf blotch emaravirus	RLBV
Redbud yellow ringspot-associated emaravirus	RYRaV
Rose rosette emaravirus	RRV
Batfish actinovirus	WEMBV
Goosefish actinovirus	WEYGV
Spikefish actinovirus	WERSV
Hagfish agnathovirus	WEHV
Longquan loanvirus	LQUV
Laibin mobatvirus	LAIV
Nova mobatvirus	NVAV
Quezon mobatvirus	QZNV
Andes orthohantavirus	ANDV
Asama orthohantavirus	ASAV
Asikkala orthohantavirus	ASIV
Bayou orthohantavirus	BAYV
Black Creek Canal orthohantavirus	BCCV
Bowe orthohantavirus	BOWV
Bruges orthohantavirus	BRUV
Cano Delgadito orthohantavirus	CADV
Cao Bang orthohantavirus	CBV
Choclo orthohantavirus	CHOV
Dabieshan orthohantavirus	DABV
Dobrava-Belgrade orthohantavirus	DOBV
El Moro Canyon orthohantavirus	ELMCV
Fugong orthohantavirus	FUGV
Fusong orthohantavirus	FUSV
Hantaan orthohantavirus	HTNV
Jeju orthohantavirus	JEJV
Kenkeme orthohantavirus	KENV
Khabarovsk orthohantavirus	KHAV
Laguna Negra orthohantavirus	LANV
Luxi orthohantavirus	LUXV
Maporal orthohantavirus	MAPV
Montano orthohantavirus	MONV
Necocli orthohantavirus	NECV
Oxbow orthohantavirus	OXBV
Prospect Hill orthohantavirus	PHV
Puumala orthohantavirus	PUUV
Rockport orthohantavirus	ROCV
Sangassou orthohantavirus	SANGV
Seewis orhtohantavirus	SWSV
Seoul orthohantavirus	SEOV
Sin Nombre orthohantavirus	SNV
Thailand orthohantavirus	ANJV
Tigray orthohantavirus	TIGV
Tula orthohantavirus	TULV
Yakeshi orthohantavirus	YAKV
Imjin thottimvirus	MJNV
Thottopalayam thottimvirus	TPMV
Gecko reptillovirus	HOLGV
Leptomonas shilevirus	LEPMV
